0:0:0:0:0:0:0:1 - - [15/May/2023:12:15:54 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:12:16:00 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [15/May/2023:12:16:00 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:12:16:00 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:12:36:09 +0200] "PUT /arca/rest/animale/update HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/May/2023:12:36:09 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:14:25:45 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:14:25:45 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:14:33:55 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:14:33:55 +0200] "GET /arca/rest/animale/lista HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:23 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:23 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:25 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:25 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:30 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:31 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:31 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:32 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:33 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:34 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:34 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:39 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:56:40 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:57:16 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:57:18 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
0:0:0:0:0:0:0:1 - - [15/May/2023:14:57:18 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:57:23 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:14:57:25 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:00:51 +0200] "GET /arca/rest/animale/speci HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/May/2023:15:01:05 +0200] "POST /arca/rest/animale/imbarca HTTP/1.1" 400 323
